"","area","datafile.013_108_2015_B.raw.area","datafile.016_148_84_A.raw.area","datafile.017_173_83_A.raw.area","datafile.039_341_81_MASS.raw.area","datafile.043_355_92_B.raw.area","datafile.044_359_92_C.raw.area","datafile.045_360_92_G.raw.area","datafile.046_363_92_C.raw.area","datafile.048_370_92_A.raw.area","datafile.063_449_87_C.raw.area","datafile.066_488_94_C.raw.area","datafile.070_538_78_A.raw.area","datafile.082_701_89_B.raw.area","datafile.086_772_94_B.raw.area","datafile.087_787_82_MASS.raw.area","datafile.088_791_82_A.raw.area","datafile.095_906_87_A.raw.area","datafile.099_939_73_B.raw.area","datafile.100_950_83_A.raw.area","datafile.102_975_83_B.raw.area","datafile.103_978_83_A.raw.area","datafile.104_1040_90_C.raw.area","datafile.110_1449_77_A.raw.area","datafile.111_1453_77_MASS.raw.area","datafile.127_7178_C.raw.area","mz_round","rt_round"
"444",1441000,67090,260200,159900,118300,363700,337500,237700,192600,564500,273000,170700,342100,347500,376400,377000,213200,209100,1441000,193300,372500,761300,381600,154600,59710,237700,155.07,8.75
"445",2894000,602500,638000,221300,1155000,616100,657200,532700,1274000,232900,697800,683900,629500,1083000,2894000,611900,724600,717100,616800,505100,702400,229600,247300,706400,232700,659800,158.003,0.4
"446",5951000,41740,199100,203600,320000,506700,3064000,404800,1345000,5951000,843600,239200,396600,266100,93950,226000,198000,1155000,13290,1262000,277000,1913000,419100,254400,666300,147100,158.081,3.64
"447",1676000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1676000,NA,NA,NA,NA,158.129,2.3
"448",1363000,453000,609500,567700,1185000,475800,574100,562400,792800,525400,697100,638200,535400,999200,1363000,569000,490600,625300,575500,634700,422900,448600,549600,550200,515000,640000,158.961,0.24
"449",1671000,763500,994600,794600,750700,808300,107700,963700,308900,816900,944800,991500,919100,773200,1671000,1021000,1047000,1015000,901900,1009000,789300,793000,919700,1093000,904400,1023000,158.961,0.5
"450",4925000,133800,222800,147800,106800,125500,162300,105000,121700,107500,101200,111300,97190,4925000,186000,139600,118400,112200,136400,129400,88180,105900,112600,116000,154200,84750,158.978,1.31
"451",5074000,4211000,4438000,4060000,5074000,3888000,4346000,3571000,4158000,3981000,3651000,3828000,4162000,118100,3409000,3790000,4179000,4120000,2775000,3936000,3399000,3153000,3569000,3841000,3956000,2869000,158.978,1.46
"452",8005000,40340,705100,547400,1679000,8005000,211900,256500,367500,523800,736000,624900,1130000,313200,1426000,755500,1343000,634400,178800,3448000,638800,1628000,3445000,3861000,698900,686700,160.076,1.65
"453",9672000,142600,783700,428000,1142000,9672000,234600,201600,347500,666800,589300,433800,839600,260800,1909000,827600,1202000,500400,174300,3735000,369700,2087000,2598000,2785000,457100,510400,160.076,2
"454",23720000,251200,1452000,913400,2295000,23720000,344700,725200,528500,1516000,1256000,875800,1780000,1049000,2810000,812700,3513000,1291000,249900,5745000,711100,4950000,4236000,6763000,582800,1099000,160.076,2.61
"455",16520000,113600,849000,2987000,3826000,4048000,1101000,1113000,462500,1915000,1242000,1270000,1989000,1513000,3684000,353500,3261000,1283000,274400,16520000,992300,1459000,10620000,7344000,1933000,1218000,160.076,2.7
