Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Horticulture Zone,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Of Conservation Concern,Barcode,Kind of Specimen,Voucher collection date,Verification,Deposited
77-2022*D,77-2022,Caprifoliaceae,Heptacodium,miconioides,SMNHMRF,Heptacodium miconioides 'SMNHMRF',Accepted name,"2019. USPTO Patent Full-Text and Image Database. Heptacodium Miconioides Plant Named 'SMNHMRF' PP 30,763.",,,Temple of Bloom® Seven Son Flower,Tree,77-2022,4/7/2022,Plant,Heptacodium miconioides [Temple of Bloom] = 'SMNHMRF',Hepta. micon. 'SMNHMRF',,,From a cultivated plant not of known wild origin,XX,X,U,"Spring Meadow Nursery, Inc., Grand Haven, MI, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18.B,7/31/2024,Fair,,7/11/2023,,,,,0.72,M,,,,,0,,,,,
776-94*A,776-94,Caprifoliaceae,Lonicera,hemsleyana,,Lonicera hemsleyana,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,,Shrub,776-94,11/7/1994,Seedling,"Leycesteria formosa, Lonicera sp.",Lonic. hemsley.,,,Collected directly from the wild; origin known,XX,X,SA,1994 NACPEC Expedition to Hubei,,,,,,NACPEC '94,WD182,10/1/1994,China,"Hubei Province, Wudang Shan",,,32.4075,110.998333,1200,M,,"In moist woodland valley on rocky ledge with Lindera glauca, Actinidia chinensis, Acer henryi, Cornus controversa, Pueraria lobata. Growing on rocky ravine slopes.",,"Tree, single stem 1.5 m.; smooth, peeling orangish bark.",,"Acer henryi, Actinidia chinensis, Cornus controversa, Lindera glauca, Pueraria lobata, Quercus serrata",EG-13,EG-13,,42.2990249,-71.12193761,2.11,5/10/2023,Good,,,,,,,,,,,,,0,00223854,HR,,"Jinhua, LI, 30 Apr 1998, Lonicera hemsleyana, 2",
186-2006*A,186-2006,Caprifoliaceae,Weigela,florida,Bramwell,Weigela florida 'Bramwell',Accepted name,"2005. Spring Meadow Nursery, Inc. Flowering Shrubs. Starter Plants Catalog &amp; Shrub Reference 2005-2006.",,,Cultivar of Old Fashioned Weigela,Shrub,186-2006,4/22/2006,Plant,Weigela [Fine Wine] = 'Bramwell',Weig. 'Bramwell',,,From a cultivated plant not of known wild origin,XX,X,U,"Spring Meadow Nursery, Inc., Grand Haven, MI, United States",,,,,,,,,,,,,,,,,,,,,,,LG-2H,LG-2H,,42.30424989,-71.12394948,1.13,8/5/2024,Good,,8/5/2024,,,,,2,M,C,,,,0,,,,,
815-84*A,15043,Caprifoliaceae,Lonicera,koehneana,,Lonicera koehneana,Accepted name,"Shishkin, B.K. (ed.) 1958-2000. Flora of the USSR. Vol. 23 Bignoniaceae-Valerianaceae. Dehra Dun, India: Bishen Singh Mahendra Pal Singh. xxix, 890 pp.",,,Koehne Honeysuckle,Shrub,815-84,6/21/1984,Cutting,Lonicera koehneana,Lonic. koehn.,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",,7/1/1908,China,,,Chang-lo Hsien,,,,,,,,,,,33-NW,33,NW,42.29934304,-71.12065067,2.5,10/10/2017,Fair,,10/10/2017,,,,,3,M,C,,,,0,00191311,HV,,,
843-84*A,7026,Caprifoliaceae,Weigela,praecox,Bouquet Rose,Weigela praecox 'Bouquet Rose',Accepted name,"Griffiths, M. 1995. Index of Garden Plants. The New Royal Horticultural Society Dictionary. Portland, Oregon: Timber Press. 1234 pp.",,,Cultivar of Early Weigela,Shrub,843-84,6/25/1984,Cutting,Weigela praecox 'Bouquet Rose',Weig. 'Bouquet Rose',,,From a cultivated plant not of known wild origin,VO,X,V,"Firma Hermann A. Hesse, Baumschulen, 2952 Weener-Ems, Germany",,,,,,,,,,,,,,,,,,,,,,,13-NE,13,NE,42.30254103,-71.12470101,2.9,8/16/2024,Good,,8/16/2024,,,,,2.3,M,C,,,,0,,,,,
806-84*B,15047,Caprifoliaceae,Lonicera,maackii,,Lonicera maackii,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Amur Honeysuckle,Shrub,806-84,6/21/1984,Cutting,Lonicera maackii,Lonic. maackii,,,Uncertain origin,VO,X,V,"Imperial Botanic Garden, St. Petersburg, Russian Federation",,,,,,,,,,,,,,,,,,,,,,,33-NW,33,NW,42.29917067,-71.12070651,2.5,10/10/2017,Good,,10/10/2017,12.5,C,,,6.8,M,C,,,,0,,,,,
856-84*A,15142,Caprifoliaceae,Lonicera,xylosteum,,Lonicera xylosteum,Accepted name,"Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,European Fly Honeysuckle,Shrub,856-84,6/25/1984,Cutting,Lonicera xylosteum,Lonic. xylosteum,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Prof. Alfred Rehder, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Rehder, A.",,,Austria,,,Alps,,,,,,,,,,,57-SE,57,SE,42.29256355,-71.12896978,4.4,7/19/2021,Good,,7/19/2021,,,,,1.45,M,C,,,,1,"00191296, 00191305","HV, HV",,,
856-84*C,15142,Caprifoliaceae,Lonicera,xylosteum,,Lonicera xylosteum,Accepted name,"Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,European Fly Honeysuckle,Shrub,856-84,6/25/1984,Cutting,Lonicera xylosteum,Lonic. xylosteum,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Prof. Alfred Rehder, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Rehder, A.",,,Austria,,,Alps,,,,,,,,,,,57-SE,57,SE,42.29258283,-71.12899184,4.4,7/19/2021,Good,,7/19/2021,,,,,1.8,M,C,,,,1,00227083,HF,,,
856-84*B,15142,Caprifoliaceae,Lonicera,xylosteum,,Lonicera xylosteum,Accepted name,"Stace, C.A. 2010. New Flora of the British Isles. (3rd Ed.). United Kingdom: Cambridge University Press. 1232 pp.",,,European Fly Honeysuckle,Shrub,856-84,6/25/1984,Cutting,Lonicera xylosteum,Lonic. xylosteum,,,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Prof. Alfred Rehder, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Rehder, A.",,,Austria,,,Alps,,,,,,,,,,,57-SE,57,SE,42.2925605,-71.12898517,4.4,7/19/2021,Good,,7/19/2021,,,,,1.8,M,C,,,,1,,,,,
860-82*A,15118,Caprifoliaceae,Lonicera,standishii,,Lonicera standishii,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Standish Honeysuckle,Shrub,860-82,7/23/1982,Cutting,Lonicera standishii,Lonic. stand.,,,Uncertain origin,VO,X,V,"Mr. S. C. Moon, Morrisville, PA, United States",,,,,,,,,,,,,,,,,,,,,,,13-SW,13,SW,42.30209432,-71.12537094,2.9,8/16/2024,Good,,8/16/2024,,,,,2.3,M,C,,,,0,,,,,
817-84*B,6078,Caprifoliaceae,Weigela,florida,,Weigela florida var. venusta,Accepted name,"Bean, W. 1980. Trees and Shrubs Hardy in the British Isles. Vol.4: Ri to Z. (8th ed.). London: John Murray. 808 pp.",,,,Shrub,817-84,6/21/1984,Cutting,Weigela florida var. venusta,Weig. flor. var. venusta,var.,venusta,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,"Korea, Republic of",Seoul,,Puk Han,,,,,,,,,,,14-NE,14,NE,42.30256711,-71.12264701,1.12,9/10/2019,Good,,9/10/2019,,,,,2,M,,,,,0,,,,,
843-84*B,7026,Caprifoliaceae,Weigela,praecox,Bouquet Rose,Weigela praecox 'Bouquet Rose',Accepted name,"Griffiths, M. 1995. Index of Garden Plants. The New Royal Horticultural Society Dictionary. Portland, Oregon: Timber Press. 1234 pp.",,,Cultivar of Early Weigela,Shrub,843-84,6/25/1984,Cutting,Weigela praecox 'Bouquet Rose',Weig. 'Bouquet Rose',,,From a cultivated plant not of known wild origin,VO,X,V,"Firma Hermann A. Hesse, Baumschulen, 2952 Weener-Ems, Germany",,,,,,,,,,,,,,,,,,,,,,,13-NE,13,NE,42.30254324,-71.12468956,2.9,8/16/2024,Good,,8/16/2024,,,,,2.3,M,C,,,,0,,,,,
904-87*A,1026-37,Caprifoliaceae,Lonicera,maackii,,Lonicera maackii,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Amur Honeysuckle,Shrub,904-87,12/4/1987,Division,Lonicera maackii,Lonic. maackii,,,From a cultivated plant not of known wild origin,VO,,V,"Mr. Michael A. Weymarn, Harbin, Russian Federation",,,,,,,,,,,,,,,,,,,,,,,EG-26-SE,EG-26-SE,,42.29981452,-71.12216506,2.11,6/7/2017,Good,,6/7/2017,,,,,4,M,C,,,,0,,,,,
860-82*B,15118,Caprifoliaceae,Lonicera,standishii,,Lonicera standishii,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Standish Honeysuckle,Shrub,860-82,7/23/1982,Cutting,Lonicera standishii,Lonic. stand.,,,Uncertain origin,VO,X,V,"Mr. S. C. Moon, Morrisville, PA, United States",,,,,,,,,,,,,,,,,,,,,,,13-SW,13,SW,42.30209423,-71.12534193,2.9,8/16/2024,Good,,8/16/2024,,,,,3,M,C,,,,0,00184059,HF,,,
861-82*A,6669,Caprifoliaceae,Lonicera,standishii,,Lonicera standishii forma lancifolia,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Lonicera standishii forma lanceifolia, Lonicera standishii var. lancifolia",Narrowleaf Standish Honeysuckle,Shrub,861-82,7/23/1982,Cutting,Lonicera standishii f. lancifolia,Lonic. stand. f. lancif.,orma,lancifolia,From a cultivated plant of known (indirect) wild origin,VO,X,V,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",,7/1/1907,China,,,Ichang,,,,,,,,,,,62-NW,62,NW,42.29150774,-71.12769746,4.4,7/28/2021,Excellent,,7/28/2021,,,,,2.15,M,C,,,,0,00191313,HV,,,
1884-80*C,1884-80,Caprifoliaceae,Dipelta,floribunda,,Dipelta floribunda,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Dipelta floribunda var. parviflora,Rosy Dipelta,Intermediate (shrub/tree),1884-80,12/19/1980,Seed,Dipelta floribunda,Dip. flor.,,,Collected directly from the wild; origin known,,,,1980 Sino-American Botanical Expedi,,,,,,1980 S.A.B.E.,1684,9/22/1980,China,"W. Hubei Province, Shennongjia Forest District",,East side of Songlo River and directly east of the Songlo Commune Headquarters,31.5,110.5,1000-1200,M,,thicket on slope,,Small tree ca. 4-5m tall.,,,53-NW,53,NW,42.29410542,-71.13023873,4.8,7/13/2021,Good,,,,,,,,,,,,,0,,,,,
937*A,937,Caprifoliaceae,Symphoricarpos,orbiculatus,,Symphoricarpos orbiculatus,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Coralberry,Shrub,937,12-15-1874,Seed,"Symphoricarpos vulgaris, S. symphoricarpos",Symph. orbic.,,,Uncertain origin,,,,"Harvard Botanic Garden, Cambridge, MA, United States",,,,,,,,,,,,,,,,,,,,,,,14-NW,14,NW,42.3027447,-71.12308558,1.12,9/4/2019,Excellent,,9/4/2019,,,,,1,M,,,,,0,00224007,S,,,
94-23*B,94-23,Caprifoliaceae,Zabelia,biflora,,Zabelia biflora,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,"Abelia biflora, Zabelia biflora var. coreana, Abelia coreana",,Shrub,94-23,1/11/1923,Seed,"Abelia sp., Abelia biflora",Zabelia biflora,,,Collected directly from the wild; origin known,XX,X,S,,2100,,,,,"Hers, J.",2100,,China,,,,,,,,,,,,,,18-SE,18,SE,42.30106688,-71.12647688,3.2,11/1/2023,Good,,11/1/2023,,,,,2.4,M,C,,,,0,"00173066, 00173063","HF, HF, HV, HR, HF, HR, HR, HF",,"Michener, D. C., 01 Jan 1988, Zabelia biflora, 2; Spongberg, S., 05 Jun 1991, Zabelia biflora, 2",
95-81*D,95-81,Caprifoliaceae,Lonicera,nervosa,,Lonicera nervosa,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,,Shrub,95-81,12/29/1980,Seed,Lonicera nervosa,Lonic. nervosa,,,Collected directly from the wild; origin known,,,,1980 Sino-American Botanical Expedi,,,,,,1980 S.A.B.E.,251,8/26/1980,China,"W. Hubei Province, Shennongjia Forest District",,vicinity of Chuifeng Pass,31.5,110.5,2760,M,,"north facing slope, growing with Sinarundinaria, Rhododendron fargesii and Ribes",,Shrub ca. 1.5m tall. Berries black.,,,62-SE,62,SE,42.29135623,-71.12665897,4.4,7/20/2021,Fair,,7/20/2021,,,,,2.35,,C,,,,0,,HV,,,
915-87*A,6475,Caprifoliaceae,Kolkwitzia,amabilis,,Kolkwitzia amabilis,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Beauty Bush,Shrub,915-87,12/6/1987,Division,Kolkwitzia amabilis,Kolkw. amab.,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"J. Veitch &amp; Son, Chelsea, United Kingdom",,,,,,"Wilson, E. H.",1007,7/1/1901,China,Hubei Province [Hupeh],,"near Fang Xian, northwest of Ichang (Yichang)",,,,,,,,,,,LG-PER-N,LG-PER-N,,42.30446663,-71.12374876,1.13,7/23/2024,Good,,,,,,,,,,,,,1,"00158780, 00153118","HF, HF",,"Dosmann, M., 31 May 2024, Kolkwitzia amabilis, 2",
966-85*B,966-85,Caprifoliaceae,Weigela,praecox,,Weigela praecox,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,,Early Weigela,Shrub,966-85,7/8/1985,Seed,Weigela praecox,Weig. praecox,,,Collected directly from the wild; origin known,XX,X,SA,"Morris Arboretum of the University , Philadelphia, PA, United States",,,Seed Distribution List,1984,,Korean Expedition,381,10/17/1984,"Korea, Republic of","Paekryong Island, Kyonggi Do, Ongji Gun, Paekryong Myon",,along the road between Sahang Po and Tumujin,,,,,,bottom of a small stream valley at the beginning of the ascent to Tumujin.,,"Deciduous shrubs branching from the base, nearly 2m tall and as wide. Leaves yellow-green, dull, turning yellow and brown; green capsules turning brown. Seed from several plants.",,,52-SW,52,SW,42.29470526,-71.12370133,4.12,6/21/2021,Fair,,6/21/2021,,,,,1.5,M,C,,,,0,,,,,
18360*A,18360,Caprifoliaceae,Lonicera,ferdinandi,,Lonicera ferdinandi,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,"Lonicera ferdinandi var. leycesterioides, Lonicera ferdinandi var. induta",Ferdinand Honeysuckle,Shrub,18360,2/15/1924,Seed,"Lonicera salicifolia, Lonicera ferdinandi leycesterioides",Lonic. ferdinandi,,,Uncertain origin,XX,X,S,"Royal Botanic Garden Edinburgh (RBG, Edinburgh EH3 5LR, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,7-SW,7,SW,42.30410577,-71.1228171,1.16,9/11/2019,Good,,9/11/2019,,,,,4,M,C,,,,0,00152587,HV,,"Green, P., 01 Jan 1965, Lonicera ferdinandi, 2",
184-2017*A,1549-80,Caprifoliaceae,Heptacodium,miconioides,,Heptacodium miconioides,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,Heptacodium jasminoides,Seven Son Flower,Shrub,184-2017,6/19/2017,Cutting,Heptacodium miconioides,Hepta. micon.,,,From a cultivated plant not of known wild origin,VO,,V,"Dr. Stephen A. Spongberg, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Spongberg, S. A.",10,11/15/1980,China,"Zhejiang Province, Hangzhou",,Hangzhou Botanical Garden,,,,,,,,Miscellaneous seed collections,,,WH2-SW,WH2,SW,42.29567473,-71.13238839,7.1,8/27/2024,Good,,6/27/2022,,,,,2.2,M,C,,,,1,,,,,
10085*A,10085,Caprifoliaceae,Lonicera,maackii,,Lonicera maackii var. podocarpa,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,Late Honeysuckle,Shrub,10085,11/29/1919,Plant,"Lonicera maacki podocarpa, L. maackii f. podocarpa",Lonic. maackii var. podoc.,var.,podocarpa,Uncertain origin,,,,"R. &amp; J. Farquhar Co., Boston, MA, United States",,,,,,,,,,,,,,,,,,,,,,,21-NE,21,NE,42.30186078,-71.12013117,1.11,9/27/2019,Good,,7/12/2018,"15.0, ",,3 largest stems,,6,M,C,11,M,C,0,"00152872, 00152867","HR, HR, HF, HF",,"Green, P., 01 Jan 1965, Lonicera maackii var. podocarpa, 2",
164-2000*A,5134,Caprifoliaceae,Weigela,praecox,Gracieux,Weigela praecox 'Gracieux',Accepted name,"Griffiths, M. 1995. Index of Garden Plants. The New Royal Horticultural Society Dictionary. Portland, Oregon: Timber Press. 1234 pp.",,,Cultivar of Early Weigela,Shrub,164-2000,7/24/2000,Cutting,Weigela praecox 'Gracieux',Weig. 'Gracieux',,,From a cultivated plant not of known wild origin,VO,,V,"V. Lemoine &amp; Son, Nancy, France",,,,,,,,,,,,,,,,,,,,,,,14-NW,14,NW,42.30259643,-71.12317767,1.13,7/10/2024,Good,,,,,,,,,,,,,0,,,,,
1019-90*A,1019-90,Caprifoliaceae,Weigela,floribunda,,Weigela floribunda,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Crimson Weigela,Shrub,1019-90,12/12/1990,Seed,Weigela floribunda,Weig. floribunda,,,Collected directly from the wild; origin known,XX,,SA,"Royal Botanic Gardens, Kew, Richmond, Surrey TW9, United Kingdom",,,,,,"Maunder, M., Mcnamara, B.",34,10/18/1989,Japan,"Nara Prefecture, Nose-mura",,Koyosan area.,34.1,135.566667,870,M,,Secondary scrub on valley margin. Soil gravel with rock debris (granitic).,,,Common plant of disturbed land; up to 2.a4m. tall.,,14-NW,14,NW,42.30270733,-71.12332291,1.13,7/10/2024,Fair,,,,,,,,,,,,,0,,,,"Dosmann, M., 03 Aug 2013, Weigela floribunda, 2",
1023-85*A,384-81,Caprifoliaceae,Abelia,chinensis,,Abelia chinensis,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Chinese Abelia,Shrub,1023-85,7/26/1985,Cutting,Abelia chinensis,Ab. chinensis,,,From a cultivated plant not of known wild origin,VO,,V,"Hangzhou Botanic Garden, Zhejiang, China",,,,,518,,,,China,"W. Sichuan Province [W. Szechuan], Songpan County [Sung-pan Ting]",,This is believed to be the location of the Hangchow [Hangzhou] Botanical Garden.,30.25,120.266667,200,M,,,,,,,13-SE,13,SE,42.30230322,-71.12472164,2.9,10/12/2017,Good,,10/12/2017,,,,,2.2,M,C,,,,0,00193773,HF,,,
973-81*A,15011,Caprifoliaceae,Lonicera,chrysantha,,Lonicera chrysantha,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Coralline Honeysuckle,Shrub,973-81,7/17/1981,Cutting,Lonicera chrysantha,Lonic. chrys.,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Prof. Charles Sprague Sargent, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Sargent, C. S.",,,Russian Federation,Siberia,,,,,,,,,,,,,14-NW,14,NW,42.30267966,-71.12372424,2.9,10/5/2017,Fair,,10/5/2017,,,,,2,M,C,,,,0,00158934,HF,,,
1051-83*A,1508-51,Caprifoliaceae,Weigela,japonica,,Weigela japonica var. sinica,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Chinese Weigela,Shrub,1051-83,7/28/1983,Cutting,Weigela japonica var. sinica,Weig. jap. var. sinica,var.,sinica,Uncertain origin,VO,,V,"Hillier Nurseries (Winchester) Ltd., Romsey, Hants. SO5 9PA, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,13-SE,13,SE,42.30206928,-71.12488025,2.9,10/12/2017,Good,,10/12/2017,,,,,3.4,M,C,,,,0,00153207,HF,,,
