"Plant.ID","Family","Genus","Species","Cultivar","Sub","Garden.Location","lat","lon","Condition","AA","US","World","Notes"
"365-2005*B","Adoxaceae","Viburnum","bracteatum","Crimson Gem","","LG-3D",42.30421786,-71.1241616,"Good",14,"Southeast",NA,""
"379-97*B","Adoxaceae","Viburnum","sargentii","","","19-NW",42.3018373,-71.12516355,"Good",12,"No","Asia",""
"392-2018*C","Adoxaceae","Viburnum","setigerum","","","LG-8K",42.30347007,-71.1237351,"Good",10,"No","Asia",""
"379-97*A","Adoxaceae","Viburnum","sargentii","","","19-NW",42.30176333,-71.12520095,"Good",12,"No","Asia",""
"39-68*C","Adoxaceae","Viburnum","recognitum","","","19-SE",42.30085536,-71.12453795,"Good",7,"East",NA,"syn. Dentatum?"
"398-62*D","Adoxaceae","Viburnum","sieboldii","","","DGB-6",42.30283178,-71.12369919,"Good",4,"Invasive","Asia",""
"386-81*D","Adoxaceae","Viburnum","melanocarpum","","","13-SW",42.30192182,-71.12520564,"Good",1,"No","Asia",""
"392-2018*A","Adoxaceae","Viburnum","setigerum","","","LG-8K",42.30348773,-71.12374811,"Fair",10,"No","Asia",""
"392-2018*B","Adoxaceae","Viburnum","setigerum","","","LG-8K",42.30347982,-71.12373404,"Good",10,"No","Asia",""
"411-2018*D","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30237024,-71.12493073,"Alive",20,"No","Asia","quasi-invasive"
"411-2018*C","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30235178,-71.1249428,"Alive",20,"No","Asia","quasi-invasive"
"411-2018*E","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30236968,-71.12490386,"Alive",20,"No","Asia","quasi-invasive"
"1748-80*C","Adoxaceae","Viburnum","hupehense","","","51-NW",42.29504041,-71.12559023,"Good",12,"No","Asia",""
"412-2018*B","Adoxaceae","Viburnum","utile","","","14-NW",42.30261635,-71.12353532,"Alive",11,"No","Asia",""
"423-2018*C","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30257306,-71.12475465,"Good",20,"No","Asia","quasi-invasive"
"411-2018*A","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30235972,-71.12497335,"Alive",20,"No","Asia","quasi-invasive"
"412-2018*D","Adoxaceae","Viburnum","utile","","","14-NW",42.30262178,-71.12355837,"Alive",11,"No","Asia",""
"423-2018*B","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30257719,-71.1247751,"Good",20,"No","Asia","quasi-invasive"
"423-2018*D","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30258868,-71.12474763,"Good",20,"No","Asia","quasi-invasive"
"1748-80*A","Adoxaceae","Viburnum","hupehense","","","51-NW",42.29503737,-71.12560694,"Good",12,"No","Asia",""
"457-94*B","Adoxaceae","Viburnum","veitchii","","","19-SW",42.30114701,-71.12511637,"Excellent",5,"No","Asia",""
"457-94*A","Adoxaceae","Viburnum","veitchii","","","19-SW",42.30115485,-71.12514104,"Excellent",5,"No","Asia",""
"459-2016*C","Adoxaceae","Viburnum","lantanoides","","","15-NW",42.30291952,-71.12131474,"Alive",5,"East",NA,""
"46-2006*A","Adoxaceae","Viburnum","opulus","","","LG-PER-N",42.3044493,-71.12378299,"Fair",19,"East","Holarctic","Unclear taxonomy with trilobum"
"4622-2*B","Adoxaceae","Viburnum","rafinesquianum","","affine","19-NW",42.30188478,-71.12524749,"Good",9,"East",NA,""
"45-81*B","Adoxaceae","Viburnum","rhytidophyllum","","","13-NE",42.30259464,-71.12443518,"Good",20,"No","Asia","quasi-invasive"
"480-97*B","Adoxaceae","Viburnum","rafinesquianum","","","19-SW",42.30133098,-71.12507672,"Fair",9,"East",NA,""
"4643-1*A","Adoxaceae","Viburnum","molle","","leiophyllum","19-SW",42.30087334,-71.12523593,"Good",4,"Midwest",NA,""
"5070-1*A","Adoxaceae","Viburnum","dentatum","","","13-SE",42.30193538,-71.12478791,"Good",32,"East","No",""
"5070-1*B","Adoxaceae","Viburnum","dentatum","","","13-SE",42.30194401,-71.12475673,"Good",32,"East","No",""
